formulation,ka,reference_dose_mg_70kg,median_actual_daily_dose_mg,median_Cmax,median_AUC,median_max_dCdt,p95_max_dCdt,median_minAlpha,p5_minAlpha
Immediate Release (IR),1.5,40,38.72157776217969,155.52390622842492,2673.1607849969478,42.83857350207984,88.18957604308383,0.013188044710931724,0.012905971848964044
Sustained Release (SR-1),0.5,40,41.51461209597135,160.47711236186865,3007.2399153812694,25.091596020454354,59.588039384287825,0.013259786757099646,0.013078924993853599
Sustained Release (SR-2),0.2,40,39.966424723282785,128.43904812231142,2637.4665952045802,10.993499854010963,24.44834856997029,0.013301832612669618,0.013252551003450136
Sustained Release (SR-3),0.1,40,39.39271226384248,130.39674566671528,2918.5917059240196,5.073666896515732,14.00210597023675,0.013315029571539065,0.013284035911754939
