t,Cb,dCbdt,R,alpha
0.0,0.0,10.123450129389832,10.123450129389832,0.01331043061678269
0.1,1.0123450129389833,18.360218887991568,18.360218887991568,0.013291038999759338
0.2,3.6720437775983146,32.45726934666699,32.45726934666699,0.01324408102195855
0.30000000000000004,7.503798882272383,42.29666727682512,42.29666727682512,0.01320281810183212
0.4,12.131377232963338,48.77811780723481,48.77811780723481,0.013172322963769592
0.5,17.25942244371934,52.63504788838186,52.63504788838186,0.013153021248776656
0.6000000000000001,22.658386810639712,54.463237421904935,54.463237421904935,0.013143584107456176
0.7000000000000001,28.15206992810033,54.74473186511925,54.74473186511925,0.01314211490562522
0.8,33.607333183663556,53.867791079835285,53.867791079835285,0.013146677799065682
0.9,38.92562814406739,52.14351082108317,52.14351082108317,0.013155527334788576
1.0,44.03603534788019,49.81965408059918,49.81965408059918,0.01316719329213296
1.1,48.88955896018722,47.09214397326821,47.09214397326821,0.01318049439486975
1.2000000000000002,53.45446414253384,44.114598968569965,44.114598968569965,0.01319451814387774
1.3,57.7124787539012,41.00623080702235,41.00623080702235,0.01320858621161246
1.4000000000000001,61.655710303938314,37.85837459910027,37.85837459910027,0.01322221563471899
1.5,65.28415367372124,34.739877247327115,34.739877247327115,0.013235081097042314
1.6,68.60368575340374,31.70153418328482,31.70153418328482,0.013246980865517767
1.7000000000000002,71.6244605103782,28.779733948476633,28.779733948476633,0.013257807415617183
1.8,74.35963254309905,25.999444197720663,25.999444197720663,0.01326752293611405
1.9000000000000001,76.82434934992234,23.376650946197856,23.376650946197856,0.013276139447811834
2.0,79.03496273233861,20.920344706864853,20.920344706864853,0.013283703046731233
2.1,81.00841829129533,18.63413186422065,18.63413186422065,0.013290281695367029
2.2,82.76178910518274,16.51753650317778,16.51753650317778,0.013295955979297256
2.3000000000000003,84.31192559193089,14.567047202829258,14.567047202829258,0.013300812283136211
2.4000000000000004,85.6751985457486,12.776954135411529,12.776954135411529,0.013304937899333381
2.5,86.8673164190132,11.1400142394466,11.1400142394466,0.01330841765083463
2.6,87.9032013936379,9.647975816745316,9.647975816745316,0.013311331676503765
2.7,88.79691158236227,8.291988487193237,8.291988487193237,0.013313754091501248
2.8000000000000003,89.56159909107654,7.062920074228032,7.062920074228032,0.013315752290732202
2.9000000000000004,90.20949559720788,5.951598149550819,5.951598149550819,0.013317386711880657
3.0,90.75191872098672,4.948990922814062,4.948990922814062,0.013318710914442549
3.1,91.19929378177066,4.046339517978652,4.046339517978652,0.013319771863374729
3.2,91.56118662458246,3.23525154483292,3.23525154483292,0.01332061033014398
3.3000000000000003,91.84634409073725,2.5077640573694,2.5077640573694,0.01332126133925583
3.4000000000000004,92.06273943605633,1.8563825184144207,1.8563825184144207,0.013321754589995436
3.5,92.21762059442014,1.2741011424523663,1.2741011424523663,0.01332211475341861
3.6,92.31755966454679,0.7544089722596254,0.7544089722596254,0.013322361403950454
3.7,92.36850238887206,0.291285205203053,0.291285205203053,0.013322507556190381
3.8000000000000003,92.3758167055874,-0.12081341122802769,0.0,0.013322547955592344
3.9000000000000004,92.34433970662646,-0.48697086388972366,0.0,0.013322547955592344
4.0,92.27842253280946,-0.811834054717167,0.0,0.013322547955592344
4.1000000000000005,92.18197289568302,-1.099637472974905,0.0,0.013322547955592344
4.2,92.05849503821447,-1.3542292677596492,0.0,0.013322547955592344
4.3,91.9111270421311,-1.579097879079029,0.0,0.013322547955592344
4.4,91.74267546239867,-1.7773985903573362,0.0,0.013322547955592344
4.5,91.55564732405963,-1.951979528060349,0.0,0.013322547955592344
4.6000000000000005,91.3522795567866,-2.1054067654651476,0.0,0.013322547955592344
4.7,91.1345659709666,-2.239988291341433,0.0,0.013322547955592344
4.800000000000001,90.9042818985183,-2.3577966861108166,0.0,0.013322547955592344
4.9,90.66300663374444,-2.460690412244219,0.0,0.013322547955592344
5.0,90.41214381606946,-2.5503336751386314,0.0,0.013322547955592344
5.1000000000000005,90.15293989871672,-2.628214848460516,0.0,0.013322547955592344
5.2,89.88650084637736,-2.695663486107378,0.0,0.013322547955592344
5.300000000000001,89.61380720149525,-2.7538659636422835,0.0,0.013322547955592344
5.4,89.3357276536489,-2.8038798066766617,0.0,0.013322547955592344
5.5,89.05303124015992,-2.8466467734695016,0.0,0.013322547955592344
5.6000000000000005,88.76639829895501,-2.8830047650660617,0.0,0.013322547955592344
5.7,88.47643028714671,-2.9136986395081976,0.0,0.013322547955592344
5.800000000000001,88.18365857105337,-2.9393900075567103,0.0,0.013322547955592344
5.9,87.88855228563537,-2.960666086665128,0.0,0.013322547955592344
6.0,87.59152535372034,-2.9780476878650575,0.0,0.013322547955592344
6.1000000000000005,87.29294274806236,-2.9919964074067025,0.0,0.013322547955592344
6.2,86.993126072239,-3.0029210917061278,0.0,0.013322547955592344
6.300000000000001,86.69235852972113,-3.0111836398746163,0.0,0.013322547955592344
6.4,86.39088934426407,-3.017104204444024,0.0,0.013322547955592344
6.5,86.08893768883233,-3.0209658465078064,0.0,0.013322547955592344
6.6000000000000005,85.7866961749625,-3.0230186972840443,0.0,0.013322547955592344
6.7,85.48433394937553,-3.023483674387137,0.0,0.013322547955592344
6.800000000000001,85.18199944008506,-3.0225557966235783,0.0,0.013322547955592344
6.9,84.87982279005081,-3.020407137909899,0.0,0.013322547955592344
7.0,84.57791801250309,-3.0171894570557356,0.0,0.013322547955592344
7.1000000000000005,84.27638489863966,-3.013036536832658,0.0,0.013322547955592344
7.2,83.97531070513656,-3.0080662628408277,0.0,0.013322547955592344
7.300000000000001,83.67477164607149,-3.0023824695407484,0.0,0.013322547955592344
7.4,83.37483421122842,-2.9960765783879424,0.0,0.013322547955592344
7.5,83.07555633039391,-2.9892290504056973,0.0,0.013322547955592344
7.6000000000000005,82.77698840114728,-2.9819106733620515,0.0,0.013322547955592344
7.7,82.4791741957215,-2.9741837016673003,0.0,0.013322547955592344
7.800000000000001,82.18215166081382,-2.9661028652081995,0.0,0.013322547955592344
7.9,81.88595362267985,-2.95771626169676,0.0,0.013322547955592344
8.0,81.59060840847447,-2.9490661455282634,0.0,0.013322547955592344
8.1,81.2961403935742,-2.940189624797597,0.0,0.013322547955592344
8.200000000000001,81.00257048351494,-2.9311192768524847,0.0,0.013322547955592344
8.3,80.7099165382037,-2.921883691641142,0.0,0.013322547955592344
8.4,80.41819374518671,-2.912507951109376,0.0,0.013322547955592344
8.5,80.12741494798182,-2.903014051982325,0.0,0.013322547955592344
8.6,79.83759093479026,-2.893421278463677,0.0,0.013322547955592344
8.700000000000001,79.54873069228908,-2.88374653063903,0.0,0.013322547955592344
8.8,79.26084162866245,-2.8740046137894524,0.0,0.013322547955592344
8.9,78.9739297695312,-2.864208493089052,0.0,0.013322547955592344
9.0,78.68799993004464,-2.8543695177441464,0.0,0.013322547955592344
9.1,78.40305586598237,-2.8444976182939854,0.0,0.013322547955592344
9.200000000000001,78.11910040638584,-2.8346014801550723,0.0,0.013322547955592344
9.3,77.83613556995135,-2.824688696191913,0.0,0.013322547955592344
9.4,77.55416266714747,-2.814765900809391,0.0,0.013322547955592344
9.5,77.27318238978947,-2.8048388878004857,0.0,0.013322547955592344
9.600000000000001,76.99319488958737,-2.7949127139265215,0.0,0.013322547955592344
9.700000000000001,76.71419984700417,-2.784991789760454,0.0,0.013322547955592344
9.8,76.43619653163528,-2.7750799595687,0.0,0.013322547955592344
9.9,76.15918385509043,-2.7651805715422597,0.0,0.013322547955592344
10.0,75.88316041732683,-2.755296539143785,0.0,0.013322547955592344
10.100000000000001,75.60812454726168,-2.7454303950830763,0.0,0.013322547955592344
10.200000000000001,75.33407433831022,-2.7355843387250616,0.0,0.013322547955592344
10.3,75.06100767951666,-2.725760277547977,0.0,0.013322547955592344
10.4,74.78892228280063,-2.7159598635440716,0.0,0.013322547955592344
10.5,74.51781570680785,-2.7061845251524232,0.0,0.013322547955592344
10.600000000000001,74.24768537777014,-2.696435495214473,0.0,0.013322547955592344
10.700000000000001,73.97852860776496,-2.686713835432215,0.0,0.013322547955592344
10.8,73.7103426106837,-2.6770204578660923,0.0,0.013322547955592344
10.9,73.44312451619174,-2.6673561437388003,0.0,0.013322547955592344
11.0,73.17687138193594,-2.657721559877757,0.0,0.013322547955592344
11.100000000000001,72.91158020421618,-2.6481172731465676,0.0,0.013322547955592344
11.200000000000001,72.64724792730662,-2.6385437629660373,0.0,0.013322547955592344
11.3,72.38387145162298,-2.6290014324769118,0.0,0.013322547955592344
11.4,72.12144764081124,-2.6194906182137743,0.0,0.013322547955592344
11.5,71.85997332798023,-2.6100115985622665,0.0,0.013322547955592344
11.600000000000001,71.59944532109878,-2.6005646010070222,0.0,0.013322547955592344
11.700000000000001,71.33986040777883,-2.591149808619832,0.0,0.013322547955592344
