Cmax,Tmax,AUC,max_dCdt
177.6907979253874,147.0,3025.0815098093653,58.80127267162183
198.10304051874382,147.0,3313.08927124649,65.4761325845968
171.7963045298833,147.0,2997.6895470196714,56.99547567038343
198.05836466721908,148.0,3589.1267274822644,45.73105494318452
273.52775284244126,147.5,5013.8729786640815,70.66069235975425
165.42016464137131,148.0,3015.7645995034345,39.65264125797046
215.6244168242491,149.0,4119.738655083129,36.11067571741083
201.71989192900207,147.0,3535.2093839873332,65.20408937605453
153.04759878752733,147.5,2904.7362793584202,33.36994890261798
167.60575179744083,147.0,2945.224932807644,50.52586907534136
202.92131187176295,146.5,3584.7572159454517,75.57299681729579
174.71961298001685,148.0,3335.364313805347,35.48995148978548
196.19913247929736,148.0,3523.132320748031,49.460458111181325
169.13057718769983,147.0,2996.2264297782394,50.524215962512585
163.64257661896374,147.0,3183.176660283232,38.15719386786209
180.87205320934723,147.5,3344.6907957599074,43.65656086551638
210.2106358306252,148.0,3622.3608498299986,58.04576892376086
242.8269263653089,147.0,4354.584785756399,69.9858385738223
162.67052296011965,147.5,2876.18671930433,45.022726916625686
134.99984397376818,148.5,2538.3042928839795,27.269599417173822
184.0612104084001,148.0,3340.731967080884,42.22701683029817
180.3483686575046,146.5,3216.062200890854,60.84969026300004
145.26477369702394,147.5,2647.1913251314677,37.752436918481706
136.54010521661186,148.0,2381.1675324030366,35.8536344890354
183.68397300501525,147.5,3208.9610696063673,53.55286732072469
208.64996923616545,147.5,3372.3382640219615,65.56619156820058
146.54968050245247,147.0,2646.7948693813278,41.306289354161464
223.36479167213975,148.0,3642.5236828893476,66.38336108939839
124.63950718242806,147.5,2175.9354033826685,34.88092871249742
293.27814766385836,148.0,5636.767567272817,60.55836113221778
106.97956623133162,147.5,2029.041998309152,24.665970957651567
114.87039102521724,147.0,1781.1241597201438,44.72432411745249
116.11868158915058,147.5,2006.6228311087966,33.098365827665674
171.09507894597152,147.0,2866.382149769637,55.446960209624436
130.43230214465407,146.5,2335.7999711222355,41.15032749568279
221.78599331076916,147.5,4241.178499274956,48.382365392965966
215.2524457726486,147.0,3754.139514868414,63.94983426692738
157.25748205916298,147.5,2834.5053376560268,41.527099507429384
205.28303561582237,148.0,3625.428278499223,50.68049371798688
170.67931092947236,147.5,3025.743083734023,45.18401115059163
127.61035534335574,147.0,2141.7904384596495,44.99133793176621
175.64260441787354,147.5,3265.9196097688373,40.96260157862319
155.64149456220568,148.0,3122.7431906929583,27.533593335633483
203.92831833376215,148.0,3757.907454602186,45.93293290124599
191.00266436662176,147.5,3051.2682733460024,63.18549792892544
136.22969180975662,147.0,2293.0305552611735,43.64820576254692
124.02042131253522,147.0,2184.6889708628396,36.85482933073618
180.45146439288922,147.5,3361.7279462694214,43.65711952800454
146.853961737839,147.0,2512.8968915861024,47.17453420481989
153.48691132891614,146.5,2526.3535820853504,60.06528916053374
184.89814410395303,147.0,3460.492534478297,49.81864421105071
173.72770351518605,147.5,3007.1058056980164,48.20453594474
148.19592774363576,147.5,2858.4250155302043,31.609322852257932
112.58656432062189,147.5,2111.0467447686115,25.510761429520898
170.7910138395177,147.5,3080.895909848089,45.26353244872894
148.75762884483154,148.0,2664.3549295551575,36.53999252470862
206.25249470189834,147.5,3660.6138707629398,55.451043945717714
244.6339988744522,147.5,4274.035994094538,66.52684439569771
178.61073106100494,147.5,3087.411560565197,51.140384021803015
152.92360199867463,147.5,2458.6715856928745,50.88810930784999
216.74431973020043,147.0,3519.0984189246983,77.15385138573826
168.71940668528177,147.0,3295.553422102392,36.118928557378126
166.19228245851056,147.0,2946.5697868839707,55.57077312479947
142.25404935096657,147.5,2537.1916866945107,38.74789370952671
150.64503690748364,147.5,2456.34044917665,49.16616752552649
161.69205604148243,147.5,2820.9465936100696,47.47179712689348
171.21934953569044,147.5,3104.502572140867,43.528316760231135
127.9077460931074,147.0,2147.8038855281675,42.14362683612048
201.44757012468986,147.0,3848.978060947492,49.97758509628214
104.54743584832485,147.5,1915.4998934611829,26.243210376298762
186.27238645393518,147.0,3319.465704951536,53.3922192496572
191.99302109615738,147.0,3285.2617076746355,59.927530808560405
115.0324946405789,147.5,1749.8333072756823,41.00339383344392
211.30929744112382,147.0,3633.206843619918,66.03510322131388
111.18379922438389,146.5,1929.1519785427297,39.74501961753195
202.99368690915844,148.0,3833.9679091091525,44.12164729933872
80.00198191590938,147.0,1264.7083060256903,28.394323026713458
159.07897581638437,148.5,3018.762133068332,29.81481895126562
124.01013541572048,147.5,1753.965032598191,48.04305539220927
201.84590506612662,147.0,3622.4543866420486,55.92942427733938
240.60831481442722,148.0,4557.9990590868465,51.573126711106795
247.7508206108344,148.0,4870.586427841332,45.06972022880606
163.82268164273447,147.0,2646.2376146424303,56.60458760476449
173.30138707814868,147.5,3238.6821971374548,40.23579095679388
174.4975910482228,147.5,3328.9092048324123,39.45298654899425
151.10886678244023,147.0,2896.431432874742,37.690363102768316
147.1196990512672,148.0,2537.0342144923898,39.564364932881844
129.16262629522905,147.5,2191.486935606611,37.21538123441715
161.5874520854243,147.5,2568.18485946614,53.94294545720578
143.60461325705512,146.5,2637.9763696804157,44.04304387331187
218.87472460440523,147.0,3861.6273289555356,69.7108071382211
167.76451554114252,147.5,3221.684139367833,35.98451907421561
178.55165241773477,147.5,3222.077251454567,48.01827790971936
134.48005365617547,147.5,2545.1779252730785,29.490261999494678
149.2985615389992,146.5,2477.903626028641,61.39056892375546
102.22301982343431,148.0,1800.2886493259414,26.324897081694438
124.07312782327544,146.5,2120.686777752161,44.63465719359737
141.38894143779547,147.0,2463.709394842468,41.991372837630294
204.6985650570436,147.0,3088.7802128713975,85.91257713856893
164.59592205302997,147.5,3105.6295243583636,38.5551673934725
200.0875972175987,148.0,3690.459131953091,44.13310304531028
158.38013178855243,147.5,2699.4948200147364,48.44327985928753
134.11917594688134,147.0,2304.6144028863,44.500451961156465
179.42594996439635,147.0,3063.682687149326,56.612246204017424
145.03015879784917,147.0,2455.366219985374,45.809826374851326
205.73739978249134,147.5,3530.7196003088084,60.465415182353425
90.53923839476587,147.0,1684.9106703403468,25.473059212874468
173.63778393211254,147.0,2486.87071520999,71.01308255250036
191.39216933030417,148.0,3168.9232677296377,53.91055815933275
148.14176436673628,147.5,2694.762429841859,37.517278131847476
184.96921060560138,147.5,3400.4897924035413,46.51128868574078
184.91526336844774,147.0,3364.1412502476287,52.111097717447166
135.92857901179406,146.5,2444.174034189914,43.92112493043393
160.46814707689796,147.0,2864.5595617779486,49.76225042150993
103.2436789149444,147.0,1817.3122767844618,31.42546881048756
116.19371855968812,147.0,1843.3877293188934,44.210718591739244
196.02390159092988,147.5,3700.086284552347,44.31313930538876
218.18937418322668,147.5,4072.438152691485,52.373393615346316
174.2998273670478,148.0,3288.7931535274724,36.300231271896436
