Cmax,Tmax,AUC,max_dCdt
68.10598570064266,145.5,1114.9573541230152,59.70152196043181
67.56330249495761,146.0,1097.4324825829544,55.540148308570124
61.72563299289699,145.5,1028.000793809133,57.52480847890358
60.38992985287491,147.0,1080.716094017701,27.13868519149493
91.99133427546494,146.5,1662.0293819442381,51.06402163461598
55.51255123284562,146.5,985.9996269033009,31.00778532472883
71.12608094723727,147.5,1336.992248616519,25.528979296364042
82.14624333157552,145.5,1402.0559992351793,64.80915039782799
62.743584770196314,146.5,1165.3357078319373,32.126269086687415
59.929238330988234,146.0,1027.6400688070428,44.59562178834686
89.22376836337138,145.0,1527.9315750241988,82.39686037347282
56.44535594796823,146.5,1049.852278566998,28.339287621366175
58.03381634184909,146.5,1013.7683712713979,34.03303675088242
67.9345513874909,146.0,1188.2023868691635,43.62620470556149
68.40416835630835,146.0,1308.8715055739722,39.49977423442955
69.95621893837983,146.5,1274.388313986389,35.86283926397935
58.95704509349577,146.5,987.5317987740143,36.50447697486726
79.22606161948147,145.5,1380.1723084328967,59.763018197333835
58.78785672975454,146.0,1002.8259733954276,41.62967953436629
62.39530266394286,147.5,1164.4726783704996,22.587802338535482
64.31628058047691,147.0,1146.901727297827,30.96007105813792
82.81886291185457,145.5,1440.2944834760092,66.36606731821745
69.42005901224638,146.0,1228.5198015678716,45.363628861433085
60.584221932579524,146.5,1028.910831799989,35.57421555930415
80.40451400960956,146.5,1378.1985018627086,51.63817045580252
68.01812089986615,146.0,1038.690675591326,55.28896065783589
64.95989288745652,146.0,1147.7019652511285,45.063599872458624
80.28280630056959,147.0,1283.2668336118131,47.71015453040589
59.010771466404236,146.5,1015.9690620712138,33.17461435422271
87.49537995456461,146.0,1626.3857780356739,49.11846910683829
63.07891862656004,146.5,1178.406618755631,32.77221633441354
57.75050655629494,146.0,869.1541546096943,52.57129735818413
52.00042225231129,147.0,889.9539197658299,27.587904650699237
63.60688371973371,146.0,1034.5030733758456,49.32591862520748
69.9861310360492,145.5,1224.872574575355,52.42866945955892
70.813696890007,146.0,1312.8632434909791,41.46213567647307
69.67937019239183,146.0,1188.6563398713763,47.50304847150939
57.03509145947209,146.0,1006.7004173623338,34.67670377614279
72.6247453343511,146.5,1247.0903234481316,41.15153734314883
60.72282218065672,146.0,1041.882617232327,39.53350264242964
52.1758006444962,145.5,843.5781021772029,46.812186077944524
64.80465865498121,146.5,1174.809229188547,36.61762058364434
66.91151745465791,147.0,1331.2311225942003,24.10275006188779
79.21286667503972,146.5,1418.6673834751687,43.096089645068844
67.00413255988829,146.0,1015.396362542255,56.771387044806815
70.04780796902034,146.5,1162.6094345739102,46.27637002830815
59.795366145671224,146.0,1031.8086861602028,42.01741263487855
68.93672833811824,146.0,1245.5774632592525,43.60554797430481
62.03221125691244,146.0,1031.2900209485013,50.47703531309938
73.65657433724263,145.5,1171.7004500960547,69.43534977642977
69.93504400860661,146.0,1284.660753833567,45.80408730109956
73.45738058221248,146.5,1249.2275596404543,41.78774071694539
