dose_mg,pct_exceeding,median_Cmax,p95_Cmax,p5_Cmax,median_minAlpha,p5_minAlpha,p95_minAlpha
40,0.0,174.16166241262164,366.4941287041167,66.07244497903339,0.01317580417921521,0.012781294054540648,0.013292432545353334
80,11.0,296.1112597364458,751.4108784377604,137.31664530193018,0.01296665605808659,0.01147561166521146,0.01322428387670879
120,25.5,495.70106073662254,1140.1631944133248,220.40754581390766,0.012508295916084553,0.010848927898006717,0.013121728236429632
200,61.5,828.2642939351122,2041.130047527372,354.61752225797954,0.011697832845586323,0.00792404452433711,0.012873665919797871
400,95.0,1539.9121747405065,3629.6032252413074,672.7779721165607,0.00921709920020677,0.004871909215864224,0.012002369075558125
800,99.0,3136.2376685631666,7337.954724274155,1205.1571966108843,0.005828449506793928,0.002136274182536981,0.010714723207782188
1600,100.0,6262.911592453456,14584.222328929229,2723.9894921187597,0.002714550869350544,0.0006526523978158406,0.006991905668334628
3200,100.0,13703.258101941989,36514.46588152462,5195.9481271152645,0.0010063561175419015,0.00023843340705318407,0.0032676231994019297
