formulation,ka,median_Cmax,median_AUC,median_max_dCdt,p95_max_dCdt,median_minAlpha,p5_minAlpha
Immediate Release (IR),1.5,164.02102520792718,2950.980249593754,44.784242733819276,116.7099934798616,0.013191409984627735,0.012732202541679337
Sustained Release (SR-1),0.5,142.3010249381768,2639.4434115907784,23.61022387572953,66.16851412959242,0.013275394353037973,0.013079018974895546
Sustained Release (SR-2),0.2,136.19547758585998,2775.549180320874,12.001652448921888,36.66178585097572,0.013306621854766172,0.01322722812496638
Sustained Release (SR-3),0.1,133.92102007118797,2972.3363005154624,5.2539267834926235,15.067352185788566,0.013318323882122136,0.013299601717689367
