reference_dose_mg_70kg,median_actual_daily_dose_mg,p5_actual_daily_dose_mg,p95_actual_daily_dose_mg,median_BW_kg,pct_exceeding,median_Cmax,p95_Cmax,p5_Cmax,median_minAlpha,p5_minAlpha,p95_minAlpha
40,39.63133355263723,31.262926399690127,52.25796794263312,69.35483371711516,0.0,163.92609696153244,313.42089919068604,73.02490051339139,0.013182820975645201,0.012866563537158402,0.013273654036245324
80,78.44793167227499,58.338987358838665,104.93732592383692,68.64194021324062,8.5,310.5149483241595,731.0005349389764,158.22082120981457,0.0128936309373015,0.011932139933564428,0.01318658244860394
120,120.31342743516304,90.12716368541676,166.80899403907748,70.18283267051177,28.999999999999996,524.1233173389676,1018.6430313761108,234.86419624970782,0.012488902381117037,0.010892339167159985,0.01304966700472292
200,200.16289611491652,149.37693677733157,271.98951632391476,70.05701364022077,58.5,760.7388893331033,1692.3377687305795,360.99892486969645,0.011763665020944242,0.008935701137989121,0.01280962603568659
400,411.5580149629567,287.02632877839153,553.1635235340113,72.02265261851744,97.0,1657.5860337182933,3503.4000497262423,704.9923016268579,0.00897455578004442,0.005204187268926377,0.011497585088308082
800,815.7647693117342,616.9611175908648,1060.8647219900333,71.37941731477676,100.0,3046.5396143477037,6907.570047088675,1431.1779202605871,0.005827752576512855,0.002513446789323975,0.009531727695953554
1600,1626.0189069331657,1228.9599721707054,2144.8555709953357,71.138327178326,100.0,6339.665027202275,14569.22022760308,2595.2706517561237,0.0026783219373102,0.0008891723348773544,0.0063719631333720985
3200,3165.4605952374072,2352.5291510161765,4189.649027818815,69.24445052081828,100.0,12989.078954075983,28344.03667287494,5081.243406188487,0.000949746847466026,0.0003618179195600643,0.0029485459527654194
